user_id	userID
36121	0
26572	1
94805	2
37550	3
89825	4
14601	5
15061	6
6364	7
99661	8
57849	9
3542	10
21038	11
97829	12
94522	13
12538	14
88421	15
98501	16
47592	17
26119	18
9868	19
84145	20
74050	21
58518	22
26482	23
85811	24
88648	25
72969	26
60599	27
10850	28
72439	29
54489	30
89873	31
31970	32
47771	33
85506	34
54003	35
11254	36
42185	37
50389	38
88418	39
19062	40
52287	41
50584	42
75127	43
34428	44
74285	45
25902	46
48195	47
55109	48
89495	49
93487	50
30484	51
57657	52
82303	53
9851	54
84368	55
97275	56
28036	57
16718	58
73661	59
8116	60
14633	61
58826	62
12823	63
82148	64
22706	65
68863	66
16055	67
83083	68
30617	69
51104	70
41922	71
65069	72
61527	73
47310	74
52150	75
64025	76
31698	77
11022	78
46458	79
52728	80
59384	81
93154	82
86476	83
30883	84
35930	85
19956	86
65065	87
9878	88
24098	89
27176	90
18808	91
6649	92
80195	93
93070	94
79032	95
31319	96
50552	97
43385	98
92264	99
14183	100
37695	101
26227	102
28924	103
10910	104
90556	105
70984	106
92660	107
73845	108
42757	109
12022	110
9226	111
93190	112
45394	113
58852	114
41582	115
96475	116
41878	117
99187	118
22367	119
66905	120
72186	121
91240	122
58617	123
20013	124
89254	125
82513	126
47657	127
22041	128
29888	129
59331	130
92621	131
56225	132
33435	133
89714	134
73941	135
80859	136
56971	137
36070	138
48825	139
52504	140
5818	141
70150	142
5510	143
92607	144
35105	145
1309	146
20702	147
59306	148
77723	149
16110	150
75093	151
6707	152
8040	153
42197	154
66741	155
56765	156
70158	157
7958	158
92771	159
89432	160
25776	161
45125	162
97111	163
19471	164
16576	165
75030	166
95795	167
59016	168
45503	169
23931	170
28759	171
73689	172
30992	173
21308	174
51447	175
91027	176
72518	177
60834	178
4517	179
52139	180
83249	181
75255	182
56060	183
8502	184
27620	185
95455	186
31134	187
36313	188
95819	189
60896	190
79791	191
48543	192
57186	193
73673	194
15166	195
25342	196
90155	197
9328	198
69872	199
74539	200
20625	201
97903	202
10498	203
70165	204
83459	205
94493	206
72848	207
75014	208
25534	209
90836	210
61374	211
41727	212
95447	213
88703	214
88666	215
90083	216
23551	217
65607	218
95878	219
