asin	itemID
9580	0
14631	1
7315	2
1955	3
9943	4
12077	5
8411	6
16821	7
13832	8
7771	9
9973	10
6763	11
2550	12
5266	13
8316	14
11733	15
16425	16
4253	17
1148	18
10589	19
621	20
11802	21
14283	22
18491	23
14394	24
5865	25
18490	26
3129	27
14044	28
5535	29
18257	30
11698	31
15194	32
19120	33
9949	34
18584	35
12164	36
10509	37
14958	38
11527	39
12104	40
12109	41
1099	42
5614	43
4148	44
13539	45
4735	46
8019	47
2604	48
9590	49
4420	50
4502	51
5967	52
9919	53
1734	54
11685	55
4683	56
19173	57
15173	58
2988	59
6097	60
11114	61
10635	62
19115	63
13748	64
3451	65
17543	66
16117	67
17803	68
414	69
7285	70
19482	71
15876	72
6957	73
7362	74
18054	75
9365	76
16467	77
858	78
2481	79
10941	80
2900	81
10910	82
10514	83
4073	84
18750	85
1105	86
17571	87
1704	88
7915	89
14450	90
7637	91
14242	92
13834	93
15536	94
17552	95
6989	96
10247	97
9819	98
19078	99
15866	100
5305	101
11797	102
12792	103
18887	104
8385	105
13775	106
18504	107
1552	108
10741	109
13362	110
6718	111
17906	112
12198	113
6796	114
19117	115
15411	116
1271	117
1547	118
11215	119
14572	120
12732	121
16419	122
1050	123
7998	124
3619	125
3386	126
19029	127
1457	128
10539	129
272	130
16292	131
4387	132
17556	133
10909	134
5537	135
10382	136
8752	137
1661	138
8696	139
15148	140
9642	141
4298	142
19325	143
19277	144
17745	145
10687	146
5710	147
15908	148
8268	149
12136	150
13404	151
4046	152
14078	153
5655	154
1330	155
5166	156
14993	157
8976	158
17045	159
17044	160
2405	161
1543	162
917	163
14043	164
17207	165
14469	166
17101	167
10649	168
9317	169
2544	170
6525	171
14329	172
6714	173
5014	174
15766	175
735	176
2181	177
13921	178
13804	179
12983	180
8672	181
14361	182
2709	183
1195	184
2484	185
11972	186
15838	187
17593	188
1681	189
9072	190
726	191
5417	192
15926	193
19309	194
13378	195
17419	196
14874	197
2387	198
14030	199
10328	200
6784	201
5133	202
15570	203
14003	204
14678	205
