item_id	itemID
915	0
9127	1
3775	2
9500	3
10949	4
5299	5
8394	6
11377	7
6035	8
5408	9
18348	10
8723	11
1564	12
6158	13
10743	14
11230	15
11318	16
189	17
138	18
8461	19
4365	20
7326	21
13687	22
2266	23
14165	24
17159	25
764	26
269	27
19293	28
13427	29
14622	30
2444	31
2990	32
9270	33
6672	34
1615	35
19111	36
4152	37
8039	38
9005	39
16919	40
11467	41
19413	42
5288	43
19659	44
6311	45
8272	46
16674	47
15927	48
8017	49
9218	50
14789	51
11632	52
9011	53
571	54
552	55
6818	56
11522	57
12254	58
19324	59
13207	60
8468	61
11753	62
17069	63
9291	64
9358	65
4882	66
17044	67
9763	68
1587	69
2368	70
551	71
12703	72
14951	73
18753	74
9328	75
18419	76
13378	77
7018	78
7378	79
16184	80
2646	81
14547	82
15232	83
19122	84
17749	85
13568	86
6713	87
2154	88
14834	89
15679	90
17269	91
1728	92
19135	93
5714	94
7343	95
12985	96
10148	97
17654	98
5712	99
17684	100
4895	101
9411	102
12611	103
1954	104
11981	105
2470	106
8205	107
17736	108
4501	109
3455	110
17882	111
4123	112
13125	113
14536	114
5246	115
16199	116
16860	117
9233	118
16049	119
4442	120
1000	121
4234	122
9049	123
6787	124
13722	125
2152	126
17406	127
17450	128
8560	129
16840	130
7849	131
2758	132
17038	133
296	134
481	135
10138	136
6331	137
17452	138
18296	139
4344	140
17185	141
15620	142
17621	143
1850	144
17865	145
9953	146
18316	147
5778	148
14149	149
14161	150
2504	151
17387	152
11634	153
294	154
8853	155
5849	156
1428	157
3812	158
5447	159
339	160
11705	161
13219	162
18943	163
5848	164
7029	165
5601	166
2392	167
790	168
8511	169
8715	170
9557	171
5997	172
3805	173
19269	174
3493	175
2849	176
6501	177
13023	178
14083	179
13696	180
14570	181
9055	182
18770	183
6593	184
5898	185
7316	186
15509	187
15709	188
10654	189
3044	190
18961	191
5719	192
151	193
14433	194
18993	195
7825	196
13880	197
2522	198
4630	199
2473	200
12326	201
7716	202
1047	203
75	204
13872	205
11209	206
10540	207
18481	208
3050	209
16805	210
14684	211
7264	212
8521	213
13740	214
4303	215
6806	216
12565	217
18919	218
16268	219
17873	220
8996	221
8586	222
2491	223
5358	224
9427	225
11042	226
15165	227
10025	228
19484	229
11958	230
7147	231
17927	232
679	233
9346	234
19423	235
12715	236
5360	237
8018	238
17366	239
16245	240
3985	241
9305	242
6539	243
15576	244
14335	245
19043	246
12742	247
7387	248
6378	249
18164	250
16631	251
19201	252
15816	253
1763	254
3555	255
10944	256
6620	257
15194	258
12146	259
9047	260
16903	261
2862	262
17894	263
2	264
2946	265
12896	266
14173	267
14345	268
5445	269
13544	270
16058	271
5817	272
19733	273
8262	274
8093	275
13294	276
18573	277
17037	278
8636	279
18505	280
3889	281
11758	282
6883	283
3847	284
7436	285
12428	286
4921	287
6814	288
17288	289
3254	290
4611	291
7034	292
6010	293
5946	294
3361	295
13788	296
17138	297
2145	298
7794	299
10515	300
14467	301
12725	302
4345	303
19264	304
13739	305
13324	306
4883	307
18000	308
18608	309
16351	310
389	311
13649	312
14389	313
5138	314
5915	315
13645	316
4835	317
12061	318
7309	319
4960	320
3639	321
12506	322
7127	323
8408	324
15760	325
17233	326
16708	327
4853	328
16057	329
16027	330
14126	331
13775	332
2609	333
10177	334
11873	335
15929	336
7483	337
4792	338
301	339
4208	340
8547	341
15000	342
1199	343
18882	344
1086	345
17175	346
17356	347
15814	348
19445	349
1715	350
4414	351
9809	352
3080	353
258	354
14799	355
14352	356
16695	357
14470	358
10155	359
5028	360
13347	361
9850	362
12022	363
11877	364
4188	365
16461	366
393	367
14491	368
8834	369
2347	370
1500	371
19065	372
8941	373
18468	374
1488	375
8249	376
6920	377
8516	378
10948	379
3195	380
13658	381
4149	382
6188	383
12331	384
6484	385
12232	386
13655	387
9887	388
